#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%
528,Puff,Poison,,Sludge Bomb,50,Poison,#143,16.00%,Venomous Bite,50,Poison,#144,15.00%,Venom Pounce,70,Poison,#153,7.00%,Poison Strike,75,Poison,#489,10.00%,Toxic Wasteland,*****,#460,21.00%,Acid Rain,***,#157,18.00%,Protect,#377,11.00%,Miss,#1,13.00%
529,Draxous,Dragonling,Poison,Dragonfire Fury,80,Dragon,#271,12.00%,Poisonous Whirlwind,80,Poison,#146,18.00%,Talon Hammer,55,Dragon,#278,12.00%,Venom Pounce,70,Poison,#153,18.00%,Acid Rain,***,#157,10.00%,Dragonfire Cloak,****,#467,14.00%,Burrow,#385,25.00%,Miss,#1,16.00%
530,Fumigo,Dragonling,Poison,Obliterating Breath,120,Dragon,#275,19.00%,Acidic Avalanche,100,Poison,#147,11.00%,Poison Strike,75,Poison,#489,10.00%,Dimensional Shredder,85,Dragon,#280,11.00%,Deafening Scream,***,#453,11.00%,Special Talent,****,#446,10.00%,Acrobatics,#393,21.00%,Miss,#1,28.00%
531,Furzen,Ice,,Hail Scatter,80,Ice,#422,16.00%,Ice Fang,50,Ice,#108,7.00%,Artic Chill,55,Ice,#116,12.00%,Snuggle Tackle,70,Normal,#27,19.00%,Blizzard Cataclysm,****,#122,16.00%,Sub Zero,*****,#458,19.00%,Protect,#377,11.00%,Miss,#1,11.00%
532,Howlar,Ice,,Glacial Crush,100,Ice,#111,15.00%,Electro Storm,100,Electric,#93,18.00%,Terra Tackle,40,Ground,#169,10.00%,Electro Ball,70,Electric,#99,22.00%,Counter Attack,***,#449,11.00%,Special Talent,****,#446,12.00%,Parry,#388,33.00%,Miss,#1,12.00%
533,Frunder,Electric,Ice,Arc Lightning,80,Electric,#421,21.00%,Winter's Wrath,120,Ice,#113,11.00%,Drenching Downpour,85,Water,#64,11.00%,Hailstorm Fury,70,Ice,#117,15.00%,Eye of the Storm,*****,#457,10.00%,Thunderous Roar,***,#103,15.00%,Dodge,#376,10.00%,Miss,#1,17.00%
534,Celebug,Bug,,Swarm,30,Bug,#214,10.00%,Bug Bite,30,Bug,#213,10.00%,Crawler Clobber,85,Bug,#226,18.00%,Bug Strike,75,Bug,#491,17.00%,Infestation,****,#230,16.00%,Rapid Evolution,****,#464,18.00%,Protect,#377,12.00%,Miss,#1,11.00%
535,Crysali,Bug,Poison,Poisonous Whirlwind,80,Poison,#146,12.00%,X-Scissor Strike,100,Bug,#219,15.00%,Venom Pounce,70,Poison,#153,19.00%,Chrysalid Charge,70,Bug,#225,19.00%,Rapid Evolution,****,#464,10.00%,Venemous Vortex,****,#158,11.00%,Fly,#391,18.00%,Miss,#1,14.00%
536,Symmothry,Bug,Psychic,Cocoon Cannon,120,Bug,#222,15.00%,Mental Shockwave,100,Psychic,#201,19.00%,Telepathic Tempest,85,Psychic,#208,12.00%,Bug Strike,75,Bug,#491,11.00%,Sticky Web,**,#228,13.00%,Telekinetic Shield,**,#210,13.00%,Mirage,#383,16.00%,Miss,#1,17.00%
537,Saph,Cosmic,,Waterfall Charge,100,Water,#57,7.00%,Nebula Burst,50,Cosmic,#341,20.00%,Rain Dance Rush,40,Water,#61,10.00%,Aurora Blast,55,Cosmic,#350,16.00%,Aurora Borealis,****,#356,15.00%,Lucky Comet,****,#471,16.00%,Protect,#377,12.00%,Miss,#1,16.00%
538,Soova,Cosmic,Electric,Arc Lightning,80,Electric,#421,14.00%,Starlight Burst,80,Cosmic,#435,11.00%,Electric Power,75,Electric,#476,19.00%,Cosmic Power,75,Cosmic,#480,19.00%,Cosmic Radiation,***,#355,11.00%,Thunderous Roar,***,#103,8.00%,Illusion,#392,16.00%,Miss,#1,18.00%
539,Saffire,Cosmic,Fire,Inferno Blitz,80,Fire,#37,18.00%,Fireball Storm,120,Fire,#42,12.00%,Interstellar Impact,85,Cosmic,#352,14.00%,Solar Storm,70,Cosmic,#351,10.00%,Counter Attack,***,#449,8.00%,Blinding Light,**,#451,13.00%,Riftwalk,#381,13.00%,Miss,#1,25.00%
540,Dragoni,Dragonling,,Rampage,80,Dragon,#272,17.00%,Tailwhip,50,Dragon,#270,16.00%,Zap Kick,40,Electric,#97,8.00%,Talon Hammer,55,Dragon,#278,10.00%,Cuteness Overload,*****,#498,21.00%,Scale Armour,**,#282,18.00%,Protect,#377,13.00%,Miss,#1,10.00%
541,Dragdwell,Dragonling,Ground,Ground Fissure,80,Ground,#425,12.00%,Claw Crush,100,Dragon,#273,15.00%,Supernova,70,Dragon,#279,13.00%,Fissure Quake,85,Ground,#172,18.00%,Sandstorm Shield,****,#176,10.00%,Deafening Scream,***,#453,10.00%,Withdraw,#379,10.00%,Miss,#1,22.00%
542,Dragore,Dragonling,Steel,Whitefire,125,Dragon,#410,18.00%,Dragon Leap,100,Dragon,#274,12.00%,Bolt Blade,70,Steel,#315,12.00%,Alloy Attack,40,Steel,#313,7.00%,Counter Attack,***,#449,14.00%,Scale Armour,**,#282,13.00%,Evade,#375,12.00%,Miss,#1,24.00%
543,Apparifur,Ghost,,Spirit Slam,30,Ghost,#250,10.00%,Poltergeist Strike,50,Ghost,#251,20.00%,Nightmarish Nudge,40,Ghost,#259,8.00%,Mighty Migraine,40,Psychic,#205,8.00%,Paranoia,*****,#445,16.00%,Dark Cloud,*****,#444,18.00%,Protect,#377,10.00%,Miss,#1,20.00%
544,Apparicreep,Dark,Ghost,Midnight Maul,80,Dark,#289,10.00%,Ethereal Blast,80,Ghost,#254,8.00%,Night Terror,70,Ghost,#261,22.00%,Obilivion Orb,70,Dark,#297,15.00%,Demonic Dread,***,#301,14.00%,Soul Drain,***,#265,12.00%,Decoy,#384,15.00%,Miss,#1,19.00%
545,Altergeist,Ghost,Psychic,Ghastly Grapple,100,Ghost,#256,16.00%,Hyperspace Punch,120,Psychic,#204,20.00%,Aura Sphere Blast,70,Psychic,#207,11.00%,Ghostly Guillotine,85,Ghost,#262,7.00%,Haunting Curse,**,#264,15.00%,Telekinetic Shield,**,#210,11.00%,Illusion,#392,11.00%,Miss,#1,20.00%
546,Griffley,Flying,,Feather Hurricane,50,Flying,#179,17.00%,Feather Shot,80,Flying,#426,13.00%,Talon Hammer,55,Dragon,#278,15.00%,Cyclone Kick,55,Flying,#188,15.00%,Feathered Fling,****,#194,18.00%,Brave Bird,***,#193,11.00%,Protect,#377,12.00%,Miss,#1,11.00%
547,Hawkley,Flying,Steel,Hurricane,100,Flying,#183,12.00%,Aerial Assault,80,Flying,#181,10.00%,Overhead Slash,70,Steel,#505,17.00%,Bolt Blade,70,Steel,#315,15.00%,Roost,*,#191,10.00%,Iron Defense,**,#318,14.00%,Fly,#391,13.00%,Miss,#1,22.00%
548,Ironix,Flying,Steel,Quantum Steel Quake,120,Steel,#311,15.00%,Dive Bomb,100,Flying,#184,15.00%,Cyclone Kick,55,Flying,#188,8.00%,Cyclone Kick,55,Flying,#188,15.00%,Iron Defense,**,#318,13.00%,Tailwind Boost,**,#192,8.00%,Acrobatics,#393,17.00%,Miss,#1,26.00%
549,Poniya,Normal,,Kick,30,Normal,#2,8.00%,Head Kick,70,Normal,#13,22.00%,Snuggle Tackle,70,Normal,#27,9.00%,Quick Attack,40,Normal,#25,15.00%,Counter Attack,***,#449,19.00%,Disarm,*****,#441,16.00%,Protect,#377,10.00%,Miss,#1,11.00%
550,Trotiya,Normal,,Metallic Rush,80,Steel,#308,12.00%,Bump and Run,100,Normal,#20,13.00%,Extreme Speed,85,Normal,#28,18.00%,Rock Shot,80,Rock,#429,14.00%,Blinding Light,**,#451,11.00%,Screech,***,#31,10.00%,Leap,#380,12.00%,Miss,#1,22.00%
551,Equestrya,Normal,,Arc Lightning,80,Electric,#421,15.00%,Aqua Shot,80,Water,#419,11.00%,Fire Power,75,Fire,#473,15.00%,Grass Power,75,Grass,#475,15.00%,Knacker,**,#450,10.00%,Special Talent,****,#446,10.00%,Protect,#377,12.00%,Miss,#1,24.00%
552,Fyrephar,Fire,,Inferno Blitz,80,Fire,#37,23.00%,Fire Whip,30,Fire,#34,16.00%,Flame Whirlwind,70,Fire,#45,8.00%,Searing Strike,55,Fire,#44,15.00%,Hellfire,*****,#454,14.00%,Fire Cloak,*,#47,9.00%,Protect,#377,12.00%,Miss,#1,15.00%
553,Fyrocious,Fire,,Incinerate,100,Fire,#40,12.00%,Dragonfire Fury,80,Dragon,#271,13.00%,Fire Power,75,Fire,#473,17.00%,Infernal Explosion,85,Fire,#46,12.00%,Burn Up,**,#48,15.00%,Gust,*,#281,15.00%,Dodge,#376,12.00%,Miss,#1,16.00%
554,Fyraero,Fire,Flying,Aeroblast,120,Flying,#186,15.00%,Archaic Eruption,120,Fire,#41,15.00%,Searing Strike,55,Fire,#44,8.00%,Talon Tornado,85,Flying,#190,12.00%,Tailwind Boost,**,#192,11.00%,Burn Up,**,#48,13.00%,Fly,#391,12.00%,Miss,#1,26.00%
555,Ruby,Rock,,Gemstone Missile,80,Rock,#235,7.00%,Shale Shatter,50,Rock,#233,20.00%,Rock Throw,40,Rock,#241,5.00%,Rock Power,75,Rock,#479,17.00%,Quarry Coffin,****,#248,21.00%,Blind,*****,#442,14.00%,Protect,#377,10.00%,Miss,#1,16.00%
556,Rubite,Flying,Rock,Aerial Assault,80,Flying,#181,15.00%,Soaring Strike,80,Flying,#182,10.00%,Geode Grenade,85,Rock,#244,15.00%,Bedrock Blast,70,Rock,#243,18.00%,Ancient Power,***,#247,8.00%,Brave Bird,***,#193,8.00%,Acrobatics,#393,25.00%,Miss,#1,26.00%
557,Rubacula,Flying,Rock,Absolute Iron,125,Steel,#412,25.00%,Chrono Steel Blast,100,Steel,#310,15.00%,Whirlwind Whack,70,Flying,#189,11.00%,Flying Strike,75,Flying,#490,11.00%,Rust,*,#317,10.00%,Roost,*,#191,10.00%,Fly,#391,13.00%,Miss,#1,18.00%
558,Cubruh,Fighting,Normal,Spinning Backfist,50,Fighting,#125,20.00%,Fatal Sneak Attack,125,Fighting,#395,9.00%,Cross Chop,55,Fighting,#134,10.00%,Smack Down,70,Fighting,#135,12.00%,Kung Fu Confusion,****,#140,16.00%,Courageous Roar,**,#138,18.00%,Protect,#377,14.00%,Miss,#1,15.00%
559,Bullcub,Fighting,,Skull Bash,80,Normal,#14,10.00%,Bone Breaker,100,Fighting,#129,20.00%,Jet Strike,55,Normal,#26,12.00%,Close Combat,85,Fighting,#136,17.00%,Guard Up,***,#139,9.00%,Spirit Boost,*,#137,11.00%,Shield Deflect,#503,27.00%,Miss,#1,21.00%
560,King,Fighting,Rock,Submission Slam,120,Fighting,#132,19.00%,Rocky Rampage,100,Rock,#237,15.00%,Fighting Punch,75,Fighting,#481,9.00%,Geode Grenade,85,Rock,#244,8.00%,Quarry Coffin,****,#248,10.00%,Rock Shield,**,#246,15.00%,Protect,#377,15.00%,Miss,#1,24.00%
561,Iceowl,Flying,Ice,Feather Hurricane,50,Flying,#179,10.00%,Aerial Assault,80,Flying,#181,11.00%,Flying Strike,75,Flying,#490,12.00%,Blizzard Burst,50,Ice,#107,9.00%,Ice Wall,***,#121,16.00%,Sub Zero,*****,#458,21.00%,Protect,#377,11.00%,Miss,#1,21.00%
562,Glacialwing,Flying,Ice,Hail Scatter,80,Ice,#422,15.00%,Hurricane,100,Flying,#183,15.00%,Torrential Tempest,70,Water,#63,9.00%,Talon Tornado,85,Flying,#190,10.00%,Strong Winds,*****,#462,15.00%,Brave Bird,***,#193,10.00%,Fly,#391,15.00%,Miss,#1,26.00%
563,Groocher,Bug,Undead,Tombstone Tremor,80,Undead,#362,15.00%,Rapid Sting,80,Bug,#428,15.00%,Poisonous Puddle,40,Poison,#151,8.00%,Wraith Whip,70,Undead,#369,13.00%,Eternal Graveyard,*****,#472,10.00%,Awaken,****,#447,19.00%,Burrow,#385,16.00%,Miss,#1,20.00%
564,Psychapaw,Electric,Psychic,Zap Cannon,80,Electric,#91,9.00%,Teleport Strike,80,Psychic,#199,15.00%,Aura Sphere Blast,70,Psychic,#207,10.00%,Psychic Surge,55,Psychic,#206,11.00%,Thought Scramble,****,#212,17.00%,Mind Control,***,#211,14.00%,Protect,#377,10.00%,Miss,#1,24.00%
565,Pawpawpaw,Electric,Psychic,Brain Torment,80,Psychic,#427,11.00%,Electro Storm,100,Electric,#93,14.00%,Electro Ball,70,Electric,#99,18.00%,Obilivion Orb,70,Dark,#297,17.00%,Sucker Punch,***,#448,11.00%,Special Talent,****,#446,10.00%,Protect,#377,14.00%,Miss,#1,19.00%
566,Skelego,Dragonling,Undead,Dragonfire Fury,80,Dragon,#271,15.00%,Necro Blast,80,Undead,#436,20.00%,Blaze Rush,40,Dragon,#277,7.00%,Deathly Dismemberment,85,Undead,#370,13.00%,Eternal Graveyard,*****,#472,7.00%,Hellfire,*****,#454,14.00%,Protect,#377,13.00%,Miss,#1,24.00%
567,Furrfy,Normal,,Death Hug,125,Normal,#397,5.00%,Kick,30,Normal,#2,13.00%,Quick Attack,40,Normal,#25,14.00%,Snuggle Tackle,70,Normal,#27,10.00%,Taunt and Tease,****,#32,17.00%,Cuteness Overload,*****,#498,17.00%,Dodge,#376,10.00%,Miss,#1,24.00%
568,Ramrare,Dark,Normal,Dark Energy Blast,100,Dark,#291,13.00%,Shadow Assault,80,Dark,#432,12.00%,Psychic Surge,55,Psychic,#206,21.00%,Jet Strike,55,Normal,#26,9.00%,Sucker Punch,***,#448,12.00%,Dark Cloud,*****,#444,9.00%,Protect,#377,12.00%,Miss,#1,24.00%
569,Staram,Cosmic,Normal,Starry Nightfall,100,Cosmic,#346,15.00%,Starlight Burst,80,Cosmic,#435,12.00%,Quick Attack,40,Normal,#25,8.00%,Obilivion Orb,70,Dark,#297,21.00%,Special Talent,****,#446,9.00%,Lucky Comet,****,#471,10.00%,Protect,#377,14.00%,Miss,#1,25.00%
570,Reptaur,Flying,Ground,Sand Whip,80,Ground,#163,20.00%,Aerial Assault,80,Flying,#181,11.00%,Digging Strike,55,Ground,#170,11.00%,Cyclone Kick,55,Flying,#188,11.00%,Sandstorm Shield,****,#176,18.00%,Sand Pit Trap,***,#175,13.00%,Protect,#377,11.00%,Miss,#1,16.00%
571,Repterra,Flying,Ground,Sandstorm Fury,80,Ground,#164,19.00%,Earthquake,100,Ground,#165,13.00%,Talon Tornado,85,Flying,#190,9.00%,Steel Swipe,55,Steel,#314,7.00%,Tectonic Divide,*****,#461,11.00%,Strong Winds,*****,#462,10.00%,Protect,#377,10.00%,Miss,#1,31.00%
572,Koopar,Undead,Water,Nightshade Strike,100,Undead,#363,18.00%,Corpse Explosion,80,Undead,#361,13.00%,Umbral Uppercut,40,Dark,#295,11.00%,Water Whip,55,Water,#62,15.00%,Aqua Veil,***,#67,9%,Oceanic Domain,*****,#455,14.00%,Withdraw,#379,13.00%,Miss,#1,20.00%
573,Parasaur,Rock,Undead,Demonic Deluge,100,Undead,#364,15.00%,Obsidian Blast,100,Rock,#238,16.00%,Bedrock Blast,70,Rock,#243,15.00%,Undead Punch,75,Undead,#487,18.00%,Impenetrable Armour,****,#465,11.00%,Rock Shield,**,#246,11.00%,Protect,#377,10.00%,Miss,#1,14.00%
574,Wowzer,Undead,Water,Whitefire,125,Dragon,#410,11.00%,Tsunami Slam,100,Water,#58,21.00%,Water Whip,55,Water,#62,14.00%,Decay Dive,55,Undead,#368,12.00%,Sucker Punch,***,#448,14.00%,Awaken,****,#447,9.00%,Protect,#377,10.00%,Miss,#1,19.00%
575,Iscare,Ghost,Ice,Ethereal Blast,80,Ghost,#254,12.00%,Apparition Slam,80,Ghost,#430,12.00%,Artic Chill,55,Ice,#116,12.00%,Cursed Cut,55,Ghost,#260,12.00%,Paranoia,*****,#445,18.00%,Sucker Punch,***,#448,20.00%,Protect,#377,11.00%,Miss,#1,14.00%
576,Iceygor,Ghost,Ice,Subzero Slash,100,Ice,#112,19.00%,Spectral Beam,50,Ghost,#252,9.00%,Low Sweep,40,Fighting,#133,8.00%,Crystal Crush,85,Ice,#118,24.00%,Freeze Ray,**,#120,11.00%,Paranoia,*****,#445,16.00%,Protect,#377,11.00%,Miss,#1,13.00%
577,Noiry,Dark,Fairy,Shadowy Sweep,80,Dark,#290,13.00%,Magical Mist,50,Fairy,#323,15.00%,Eclipse Eruption,55,Dark,#296,13.00%,Psychic Surge,55,Psychic,#206,8.00%,Special Talent,****,#446,15.00%,Sucker Punch,***,#448,19.00%,Shadow Swap,#382,13.00%,Miss,#1,17.00%
578,Flutterfear,Dark,Fairy,Enchanted Mist,100,Fairy,#327,18.00%,Shadow Assault,80,Dark,#432,9.00%,Whirlwind Whack,70,Flying,#189,7.00%,Flutter Fury,70,Fairy,#333,17.00%,Strong Winds,*****,#462,13.00%,Dreamy Haze,*,#335,9.00%,Protect,#377,12.00%,Miss,#1,27.00%
579,Kombape,FIghting,,Fatal Sneak Attack,125,Fighting,#395,21.00%,Suplex Slam,80,Fighting,#127,15.00%,Malicious Pinch,70,Dark,#416,12.00%,Cross Chop,55,Fighting,#134,10.00%,Guard Up,***,#139,8.00%,Knacker,**,#450,15%,Protect,#377,15.00%,Miss,#1,19.00%
580,Dravile,Bug,Poison,Venoshock,120,Poison,#150,10.00%,Venomous Bite,50,Poison,#144,17.00%,Venom Pounce,70,Poison,#153,7.00%,Pincer Pinch,55,Bug,#224,8.00%,Pressure Point,*****,#440,21.00%,Metamorphosis Madness,***,#229,20.00%,Protect,#377,11.00%,Miss,#1,17.00%
581,Beezile,Bug,Poison,Rapid Sting,80,Bug,#428,13.00%,X-Scissor Strike,100,Bug,#219,13.00%,Bug Strike,75,Bug,#491,15.00%,Venom Pounce,70,Poison,#153,20.00%,Acid Rain,***,#157,10.00%,Toxic Wasteland,*****,#460,15.00%,Protect,#377,10.00%,Miss,#1,14.00%
582,Valorling,Dragonling,Flying,Dragonfire Fury,80,Dragon,#271,14.00%,Aerial Assault,80,Flying,#181,12.00%,Dimensional Shredder,85,Dragon,#280,11.00%,Talon Tornado,85,Flying,#190,12.00%,Strong Winds,*****,#462,12.00%,Awaken,****,#447,7.00%,Protect,#377,14.00%,Miss,#1,32.00%
583,Gorstor,Ground,Steel,Sandblast,50,Ground,#162,10.00%,Metal Crush,50,Steel,#305,10.00%,Terra Tackle,40,Ground,#169,7.00%,Steel Swipe,55,Steel,#314,16.00%,Sandstorm Shield,****,#176,14.00%,Steel Plague,****,#320,18.00%,Burrow,#385,11.00%,Miss,#1,25.00%
584,Gorgear,Ground,Steel,Metal Whip,80,Steel,#307,19.00%,Chrono Steel Blast,100,Steel,#310,11.00%,Fissure Quake,85,Ground,#172,15.00%,Alloy Attack,40,Steel,#313,7.00%,Overdrive,*****,#469,8.00%,Iron Defense,**,#318,11.00%,Protect,#377,10.00%,Miss,#1,29.00%
585,Gorchrome,Ground,Steel,Ground Fissure,80,Ground,#425,11.00%,Rockslide Avalanche,120,Ground,#167,19.00%,Bolt Blade,70,Steel,#315,13.00%,Digging Strike,55,Ground,#170,9.00%,Tectonic Divide,*****,#461,8.00%,Knacker,**,#450,11.00%,Protect,#377,10.00%,Miss,#1,29.00%
586,Univorb,Cosmic,,Starlight Burst,80,Cosmic,#435,10.00%,Poison Spike,80,Poison,#424,10.00%,Smack Down,70,Fighting,#135,10.00%,Obilivion Orb,70,Dark,#297,10.00%,Disarm,*****,#441,17%,Blinding Light,**,#451,18.00%,Protect,#377,13.00%,Miss,#1,25.00%
587,Sparkleflow,Fairy,Water,Water Gun,50,Water,#53,9.00%,Glittering Sweep,80,Fairy,#326,13.00%,Rain Dance Rush,40,Water,#61,15.00%,Fairy Strike,55,Fairy,#332,15.00%,Wonderland,****,#470,18.00%,Soothing Voice,***,#452,16.00%,Protect,#377,10.00%,Miss,#1,14.00%
588,Flowither,Fairy,Water,Sparkle Burst,80,Fairy,#434,10.00%,Dragonic Dive,80,Dragon,#431,10.00%,Flutter Fury,70,Fairy,#333,17.00%,Torrential Tempest,70,Water,#63,17.00%,Counter Attack,***,#449,11.00%,Special Talent,****,#446,11.00%,Protect,#377,10.00%,Miss,#1,24.00%
589,Bearabull,Dark,Fighting,Fatal Sneak Attack,125,Fighting,#395,28.00%,Shadow Assault,80,Dark,#432,12.00%,Close Combat,85,Fighting,#136,12.00%,Extreme Speed,85,Normal,#28,11.00%,Courageous Roar,**,#138,7.00%,Spirit Boost,*,#137,6.00%,Protect,#377,13.00%,Miss,#1,24.00%
590,Steeling,Dragonling,Steel,Metallic Rush,80,Steel,#308,18.00%,Whitefire,125,Dragon,#410,13.00%,Steel Swipe,55,Steel,#314,12.00%,Omega Steel Strike,85,Steel,#316,10.00%,Ancient Rage,****,#284,8.00%,Metallic Harden,***,#319,5.00%,Protect,#377,12.00%,Miss,#1,34.00%
591,Cosbeing,Cosmic,,Cosmic Ray Beam,100,Cosmic,#345,18.00%,Archaic Eruption,120,Fire,#41,11.00%,Cosmic Power,75,Cosmic,#480,12.00%,Obilivion Orb,70,Dark,#297,13.00%,Pheonix Fury,****,#50,9.00%,Hypnosis Haze,*,#209,14.00%,Protect,#377,12.00%,Miss,#1,23.00%
592,Faximili,Dragonling,Psychic,Obliterating Breath,120,Dragon,#275,11.00%,Rampage,80,Dragon,#272,16.00%,Aura Sphere Blast,70,Psychic,#207,20.00%,Fire Power,75,Fire,#473,15.00%,Deafening Scream,***,#453,12.00%,Hypnosis Haze,*,#209,8.00%,Protect,#377,10.00%,Miss,#1,18.00%
593,Kortinya,Dragonling,Fairy,Piercing Sparkle,125,Fairy,#413,23.00%,Dragonic Dive,80,Dragon,#431,9.00%,Heavenly Hurricane,85,Fairy,#334,19.00%,Blaze Rush,40,Dragon,#277,8.00%,Dreamy Haze,*,#335,16.00%,Gust,*,#281,15.00%,Protect,#377,12.00%,Miss,#1,10.00%
594,Deadstar,Fairy,Undead,Necro Blast,80,Undead,#436,16.00%,Touch of Death,125,Undead,#414,8.00%,Fairy Strike,55,Fairy,#332,15.00%,Retribution,75,Electric,#516,16.00%,Deathly Curse,**,#372,18.00%,Direct Explosion,*****,#438,11.00%,Protect,#377,11.00%,Miss,#1,16.00%
595,Driplet,Water,,Tidal Wave,80,Water,#55,12.00%,Surf Strike,50,Water,#54,12.00%,Water Whip,55,Water,#62,17.00%,Cold Snap Kick,40,Ice,#115,12.00%,Briny Blast,****,#68,17.00%,Awaken,****,#447,14.00%,Protect,#377,11.00%,Miss,#1,16.00%
596,Emdrop,Ice,Water,Frost Nova,80,Ice,#109,23.00%,Subzero Slash,100,Ice,#112,15.00%,Drenching Downpour,85,Water,#64,18.00%,Artic Chill,55,Ice,#116,10.00%,Aqua Veil,***,#67,12.00%,Ice Wall,***,#121,12.00%,Protect,#377,15.00%,Miss,#1,10.00%
597,Pengking,Ice,Water,Vortex Tsunami,125,Water,#399,21.00%,Tsunami Slam,100,Water,#58,11.00%,Hailstorm Fury,70,Ice,#117,8.00%,Ice Lance,75,Ice,#517,12.00%,Icy Wind,*,#119,15.00%,Sub Zero,*****,#458,15.00%,Protect,#377,10.00%,Miss,#1,18.00%
598,Scrunny,Normal,,Death Hug,125,Normal,#397,7.00%,Skull Bash,80,Normal,#14,14.00%,Jet Strike,55,Normal,#26,9.00%,Electro Ball,70,Electric,#99,18.00%,Cuteness Overload,*****,#498,18.00%,Knacker,**,#450,13.00%,Protect,#377,10.00%,Miss,#1,21.00%
599,Loudboud,Normal,,Death Charge,120,Normal,#23,14.00%,Jaw Crush,85,Normal,#16,15.00%,Extreme Speed,85,Normal,#28,10.00%,Dragon Punch,75,Dragon,#484,8.00%,Neck Snap,*****,#439,13.00%,Special Talent,****,#446,8.00%,Protect,#377,11.00%,Miss,#1,32.00%
600,Toxagon,Dragon,Poison,Venom Nova,125,Poison,#403,8.00%,Toxic Tornado,100,Poison,#148,10.00%,Venom Pounce,70,Poison,#153,15.00%,Dimensional Shredder,85,Dragon,#280,20.00%,Dragonfire Cloak,****,#467,11.00%,Pressure Point,*****,#440,18.00%,Illusion,#392,12.00%,Miss,#1,18.00%
601,Angelix,Fairy,Flying,Glittering Sweep,80,Fairy,#326,24.00%,Hurricane,100,Flying,#183,8.00%,Fairy Strike,55,Fairy,#332,16.00%,Aura Sphere Blast,70,Psychic,#207,14.00%,Blinding Light,**,#451,10.00%,Special Talent,****,#446,8.00%,Protect,#377,10.00%,Miss,#1,20.00%
602,Anjira,Fairy,Flying,Chain Lightning,100,Electric,#510,18.00%,Aeroblast,120,Flying,#186,15.00%,Pixie Power,40,Fairy,#331,8.00%,Cyclone Kick,55,Flying,#188,9.00%,Strong Winds,*****,#462,13.00%,Soothing Voice,***,#452,10.00%,Protect,#377,13.00%,Miss,#1,27.00%
603,Lovebee,Flying,Normal,Wing Slash,50,Flying,#180,10.00%,Feather Hurricane,50,Flying,#179,15.00%,Dive Tackle,40,Flying,#187,8.00%,Whirlwind Whack,70,Flying,#189,13.00%,Feathered Fling,****,#194,18.00%,Brave Bird,***,#193,22.00%,Protect,#377,10.00%,Miss,#1,14.00%
604,Lovebat,Flying,Normal,Echo Wave,50,Normal,#10,8.00%,Body Slam,60,Normal,#11,13.00%,Snuggle Tackle,70,Normal,#27,17.00%,Extreme Speed,85,Normal,#28,16.00%,Counter Attack,***,#449,12.00%,Disarm,*****,#441,13.00%,Protect,#377,11.00%,Miss,#1,21.00%
605,Lovemi,Flying,Normal,Dive Bomb,100,Flying,#184,16.00%,Wild Rush,80,Normal,#15,7.00%,Whirlwind Whack,70,Flying,#189,14.00%,Cyclone Kick,55,Flying,#188,7.00%,Knacker,**,#450,10.00%,Strong Winds,*****,#462,17.00%,Protect,#377,12.00%,Miss,#1,29.00%
606,Metalzerg,Psychic,Steel,Steel Beam Cannon,30,Steel,#304,7.00%,Zen Headbutt,80,Psychic,#200,15.00%,Steel Swipe,55,Steel,#314,14.00%,Bolt Blade,70,Steel,#315,18.00%,Mind Control,***,#211,10.00%,Steel Plague,****,#320,10.00%,Protect,#377,12.00%,Miss,#1,26.00%
607,Astrosaw,Psychic,Steel,Chrono Steel Blast,100,Steel,#310,15.00%,Psyshock Slam,100,Psychic,#202,16.00%,Steel Swipe,55,Steel,#314,17.00%,Psychic Surge,55,Psychic,#206,10.00%,Knacker,**,#450,11.00%,Counter Attack,***,#449,7.00%,Protect,#377,10.00%,Miss,#1,24.00%
608,Flamezar,Fire,Ground,Magma Blast,80,Fire,#38,15.00%,Flame Charge,50,Fire,#36,11.00%,Digging Strike,55,Ground,#170,12.00%,Flame Whirlwind,70,Fire,#45,13.00%,Hellfire,*****,#454,16.00%,Fire Cloak,*,#47,18.00%,Protect,#377,12.00%,Miss,#1,15.00%
609,Magmolar,Fire,Ground,Whitefire,125,Dragon,#410,8.00%,Magma Blast,80,Fire,#38,10.00%,Tremor Shake,70,Ground,#171,12.00%,Ground Punch,75,Ground,#482,15.00%,Tectonic Divide,*****,#461,16.00%,Blinding Light,**,#451,12.00%,Protect,#377,10.00%,Miss,#1,27.00%
610,Eggaur,Dragonling,,Wyrm Whirlwind,30,Dragon,#268,5.00%,Serpentine Slash,50,Dragon,#269,10.00%,Jet Strike,55,Normal,#26,13.00%,Blaze Rush,40,Dragon,#277,10.00%,Disarm,*****,#441,20.00%,Dragonfire Cloak,****,#467,19.00%,Protect,#377,10.00%,Miss,#1,23.00%
611,Dinoshine,Dragonling,,Dragonfire Fury,80,Dragon,#271,16.00%,Dragon Leap,100,Dragon,#274,8.00%,Supernova,70,Dragon,#279,18.00%,Aura Sphere Blast,70,Psychic,#207,14.00%,Awaken,****,#447,13.00%,Scale Armour,**,#282,12.00%,Protect,#377,12.00%,Miss,#1,19.00%
